Test Version, drone_x, drone_y, drone_z, us_0, us_1, us_2, us_3, us_4, us_5, raw_accel_x, raw_accel_y, raw_accel_z, filt_accel_x, filt_accel_y, filt_accel_z, raw_vel_x, raw_vel_y, raw_vel_z, filt_vel_x, filt_vel_y, filt_vel_z, raw_pos_x, raw_pos_y, raw_pos_z, filt_pos_x, filt_pos_y, filt_pos_z, heading, compass_x, compass_y, compass_z, millis, recording_enabled,temp
0,0,0,0,2001,138,236,2172,150,172,-183.862488,245.150024,0.000006,-36.772499,49.030006,0.000001,59.816628,21.695776,1525.13855,11.963321,4.339153,305.028046,285.620605,105.142525,9771.80957,57.124126,21.028467,1954.364014,64.586082,0.95,3.7,-0.375,18485.0000000.000000,,14
0,0,0,0,2003,141,245,2114,121,245,183.862488,-367.725037,245.149994,36.772499,-73.545006,49.029999,60.06179,32.850101,1577.294189,12.01235,6.570019,315.459167,313.163696,117.794548,10479.41895,62.632759,23.558867,2095.885986,64.054688,1,3.75,-0.225,19271.0000000.000000,,14
0,0,0,0,1998,137,181,99,151,184,-306.4375,429.012543,61.287514,-61.287498,85.802505,12.257503,80.654381,18.447527,1631.227173,16.130871,3.689505,326.245758,340.635071,133.968521,11165.73242,68.127022,26.793661,2233.148926,65.129753,0.925,3.75,-0.4,19914.0000000.000000,,14
0,0,0,0,2002,139,218,56,120,246,-490.300018,490.300018,61.287514,-98.060005,98.060005,12.257503,93.892494,15.199293,1681.727173,18.77849,3.039857,336.34613,374.356934,141.276443,11823.58203,74.871429,28.255243,2364.719482,65.305183,0.925,3.8,-0.425,20580.0000000.000000,,14
0,0,0,0,1999,134,357,134,133,176,-551.587524,551.587524,122.575012,-110.317505,110.317505,24.515003,45.904385,64.658318,1740.195435,9.180868,12.93166,348.039825,412.55658,155.453094,12640.62012,82.511353,31.090582,2528.126953,64.678757,0.95,3.725,-0.45,21234.0000000.000000,,14
0,0,0,0,2002,126,246,2172,151,185,-551.587524,551.587524,183.862518,-110.317505,110.317505,36.772503,93.524765,32.543663,1800.870239,18.704943,6.508729,360.174805,450.359558,175.691025,13501.57422,90.071968,35.138172,2700.318359,65.040382,0.925,3.725,-0.3,22008.0000000.000000,,14
0,0,0,0,2001,135,245,2114,122,219,429.012512,-735.449951,-122.575035,85.802505,-147.089996,-24.515007,126.374893,-4.719138,1854.925781,25.274963,-0.943831,370.985901,504.280914,177.275681,14319.0166,100.856255,35.455093,2863.807617,64.586082,0.95,3.7,-0.475,22801.0000000.000000,,14
0,0,0,0,1998,167,184,2189,121,246,367.725006,-674.162476,-61.287529,73.544998,-134.832489,-12.257505,109.214401,28.866407,1927.857666,21.842863,5.773279,385.572266,564.526489,186.706467,15317.5127,112.90535,37.341248,3063.507568,65.661583,0.9,3.8,-0.225,23597.0000000.000000,,15
0,0,0,0,2035,152,399,2172,133,170,-61.28751,-674.162476,-0.000024,-12.257502,-134.832489,-0.000005,75.199821,87.273384,2006.734741,15.039951,17.454678,401.347595,603.155457,240.93895,16368.94434,120.631096,48.18774,3273.793701,65.490372,0.9,3.75,-0.325,24376.0000000.000000,,15
0,0,0,0,2003,151,201,2144,134,217,122.57502,551.587524,122.575012,24.515003,110.317505,24.515003,78.87706,113.01413,2073.537598,15.775403,22.602827,414.708252,639.300354,289.247375,17350.48242,127.860069,57.84943,3470.102539,65.129753,0.925,3.75,-0.35,25160.0000000.000000,,15
0,0,0,0,1998,168,246,2140,134,167,61.287521,245.149994,0.000006,12.257504,49.029999,0.000001,74.464355,98.611572,2134.273193,14.892863,19.722313,426.855347,675.212463,336.518524,18364.99609,135.042496,67.303665,3673.006592,64.054688,1,3.75,-0.325,25931.0000000.000000,,15
0,0,0,0,1998,357,183,116,427,170,0.000021,122.574989,61.287514,0.000004,24.514997,12.257503,78.264183,105.10804,2189.554443,15.652828,21.021608,437.911652,709.647339,380.664001,19348.35938,141.929474,76.132751,3869.679199,64.860619,0.95,3.775,-0.3,26603.0000000.000000,,15
0,0,0,0,2000,135,183,2113,128,245,0.000021,61.287491,122.575012,0.000004,12.257498,24.515003,80.77697,96.40522,2254.763428,16.155388,19.281046,450.953583,750.211243,431.517853,20462.95117,150.042236,86.303558,4092.5979,65.129753,0.925,3.75,-0.275,27375.0000000.000000,,15
0,0,0,0,1998,134,614,2190,131,245,183.862518,-183.862518,183.862518,36.772503,-36.772503,36.772503,77.77388,108.785301,2320.831787,15.55477,21.757057,464.167267,789.450378,481.783386,21587.60156,157.890091,96.356667,4317.52832,64.242546,1,3.8,-0.1,28186.0000000.000000,,15
0,0,0,0,2065,150,246,2112,129,246,183.862518,-61.287521,245.150024,36.772503,-12.257504,49.030006,72.012848,125.945824,2377.584717,14.402565,25.189152,475.5177,826.141479,542.499695,22781.1543,165.228333,108.499916,4556.237305,64.59565,0.975,3.8,-0.2,28965.0000000.000000,,15
0,0,0,0,2002,362,193,2156,151,160,245.150024,-245.150024,183.862518,49.030006,-49.030006,36.772503,85.067093,115.649521,2434.826904,17.013411,23.129887,486.966248,859.573547,601.936035,23911.20117,171.914734,120.387177,4782.245605,65.125084,0.95,3.85,-0.3,29747.0000000.000000,,15
0,0,0,0,2078,169,189,2115,126,236,-245.150024,183.862518,61.287483,-49.030006,36.772503,12.257497,82.064003,121.962135,2508.249268,16.412796,24.392412,501.65094,901.602173,677.635803,25367.05469,180.32045,135.527145,5073.415527,64.318291,0.975,3.725,-0.275,30587.0000000.000000,,15
0,0,0,0,1999,133,246,2114,124,245,-61.287521,122.57502,-183.862549,-12.257504,24.515003,-36.772511,95.424683,113.01416,2584.858154,19.084934,22.602816,516.972839,950.196106,738.702942,26708.7207,190.0392,147.740601,5341.75,65.21801,0.925,3.775,-0.175,31376.0000000.000000,,15
0,0,0,0,2003,134,184,2111,0,170,-122.57502,183.862518,-61.287529,-24.515003,36.772503,-12.257505,107.498322,118.836456,2744.634277,21.499664,23.767275,548.928101,1077.192017,878.620056,29967.62109,215.438492,175.724014,5993.530273,65.129753,0.925,3.75,-0.15,33166.0000000.000000,,15
0,0,0,0,2000,138,393,2189,133,218,183.862518,-183.862518,306.437531,36.772503,-36.772503,61.287506,103.085617,136.364685,2807.94458,20.617126,27.272915,561.589966,1134.496704,941.252319,31411.70117,226.899384,188.250458,6282.347168,64.397186,0.95,3.65,-0.25,33945.0000000.000000,,15
0,0,0,0,1999,135,235,2189,128,161,183.862518,-429.012543,122.57502,36.772503,-85.802505,24.515003,99.898674,140.961258,2863.53125,19.979734,28.192225,572.707642,1179.962524,1006.259949,32713.20703,235.992569,201.251968,6542.646973,64.318291,0.975,3.725,-0.325,34718.0000000.000000,,15
0,0,0,0,2003,134,193,2111,218,157,-122.57502,367.725037,61.287483,-24.515003,73.545006,12.257497,98.182617,152.544601,2916.053711,19.63652,30.50889,583.212524,1223.481445,1068.900391,33968.06641,244.69635,213.780014,6793.62207,65.129753,0.925,3.75,-0.2,35502.0000000.000000,,15
0,0,0,0,2118,132,190,2114,130,296,-245.150024,306.437531,183.862488,-49.030006,61.287506,36.772499,107.069313,137.46788,2986.226562,21.413855,27.493546,597.247681,1280.719238,1140.199951,35536.54688,256.14386,228.039886,7107.317871,64.770256,0.95,3.75,-0.15,36290.0000000.000000,,15
0,0,0,0,2082,130,266,2115,132,285,367.725037,-306.437531,-122.575005,73.545006,-61.287506,-24.515001,142.983765,100.695366,3026.67627,28.596752,20.13904,605.337524,1339.203247,1191.268677,36895.92188,267.840607,238.253662,7379.195312,64.492233,0.95,3.675,-0.225,37092.0000000.000000,,15
0,0,0,0,2094,126,286,2133,132,169,-367.725037,183.862518,490.300018,-73.545006,36.772503,98.060005,138.938797,104.679047,3088.454102,27.78776,20.935781,617.693054,1407.02124,1242.795532,38395.62109,281.404205,248.559082,7679.137695,64.949867,0.95,3.8,-0.275,37898.0000000.000000,,15
0,0,0,0,2130,248,226,2133,133,285,245.150024,-122.57502,-183.862518,49.030006,-24.515003,-36.772503,148.070663,102.411392,3136.871338,29.614124,20.482248,627.376526,1472.760376,1289.324585,39802.4375,294.552002,257.864929,7960.501465,63.401711,1.025,3.675,-0.25,38727.0000000.000000,,15
0,0,0,0,2078,130,269,2383,131,171,183.862518,-245.150024,-122.575005,36.772503,-49.030006,-24.515001,144.454697,106.027359,3185.165771,28.890932,21.205441,637.035461,1525.130493,1326.913208,40937.74609,305.026001,265.382629,8187.564941,64.1492,1,3.775,-0.225,39535.0000000.000000,,15
0,0,0,0,2095,294,297,2115,130,291,61.287521,-245.150024,-61.287506,12.257504,-49.030006,-12.257502,140.900055,115.343071,3254.850098,28.179993,23.068581,650.972046,1593.040405,1381.591309,42497.80078,318.607941,276.318237,8499.580078,65.21801,0.925,3.775,-0.325,40366.0000000.000000,,15
0,0,0,0,2130,135,297,2131,126,285,-61.287521,306.437531,367.725006,-12.257504,61.287506,73.544998,141.329041,82.063957,3282.245361,28.265799,16.412756,656.451355,1662.509521,1432.408081,44114.59375,332.50174,286.481598,8822.939453,63.959,1,3.725,-0.3,41213.0000000.000000,,15
0,0,0,0,2078,122,292,2391,130,283,122.574982,306.437531,306.4375,24.514996,61.287506,61.287498,144.025711,74.096581,3329.62085,28.805128,14.819283,665.926331,1725.290771,1462.684448,45573.85547,345.057953,292.536865,9114.793945,63.795223,1.025,3.775,-0.225,42048.0000000.000000,,15
0,0,0,0,2004,131,186,2115,147,228,-245.149994,-429.012543,-122.575005,-49.029999,-85.802505,-24.515001,121.34935,26.96649,3375.096191,24.269857,5.393263,675.021362,1795.189697,1481.934082,47396.15234,359.037659,296.386902,9479.250977,65.305183,0.925,3.8,-0.275,42864.0000000.000000,,15
0,0,0,0,2128,129,296,2114,133,251,183.862503,306.437531,245.149994,36.772499,61.287506,49.029999,128.274826,38.182102,3437.977295,25.654953,7.636386,687.597595,1853.129761,1498.502075,48967.79297,370.625549,299.700348,9793.582031,63.698673,1.025,3.75,-0.175,43645.0000000.000000,,15
0,0,0,0,2031,119,284,2132,320,297,-306.437469,-367.725037,-61.287498,-61.287495,-73.545006,-12.2575,126.191055,28.743826,3490.071533,25.238197,5.74873,698.016479,1908.208008,1510.320068,50525.89063,381.641174,302.063843,10105.2041,64.586082,0.95,3.7,-0.175,44482.0000000.000000,,15
0,0,0,0,2043,129,298,2121,131,285,245.149963,183.862518,306.4375,49.029991,36.772503,61.287498,136.916397,39.714291,3557.549072,27.383265,7.942821,711.512085,1970.5802,1527.526733,52146.51563,394.115601,305.505157,10429.33496,64.685829,0.975,3.825,-0.375,45280.0000000.000000,,14
0,0,0,0,2113,130,269,2115,131,284,245.149963,122.57502,367.725006,49.029991,24.515003,73.544998,148.315857,44.188271,3622.697998,29.66316,8.837619,724.541931,2036.390381,1547.254272,53757.07422,407.277618,309.450623,10751.44824,64.770256,0.95,3.75,-0.35,46084.0000000.000000,,15
0,0,0,0,2113,1075,297,2114,129,268,245.149963,122.57502,306.4375,49.029991,24.515003,61.287498,164.311905,51.910492,3694.833496,32.862362,10.382064,738.968994,2113.179199,1570.446777,55560.98047,422.635376,314.08905,11112.23145,64.411888,0.975,3.75,-0.475,46943.0000000.000000,,15
